Countries and areas;OOSR_Pre0Primary_Age_Male;OOSR_Pre0Primary_Age_Female;OOSR_Primary_Age_Male;OOSR_Primary_Age_Female;OOSR_Lower_Secondary_Age_Male;OOSR_Lower_Secondary_Age_Female;OOSR_Upper_Secondary_Age_Male;OOSR_Upper_Secondary_Age_Female;Completion_Rate_Primary_Male;Completion_Rate_Primary_Female;Completion_Rate_Lower_Secondary_Male;Completion_Rate_Lower_Secondary_Female;Completion_Rate_Upper_Secondary_Male;Completion_Rate_Upper_Secondary_Female;Grade_2_3_Proficiency_Reading;Grade_2_3_Proficiency_Math;Primary_End_Proficiency_Reading;Primary_End_Proficiency_Math;Lower_Secondary_End_Proficiency_Reading;Lower_Secondary_End_Proficiency_Math;Youth_15_24_Literacy_Rate_Male;Youth_15_24_Literacy_Rate_Female;Birth_Rate;Gross_Primary_Education_Enrollment;Gross_Tertiary_Education_Enrollment;Unemployment_Rate
Democratic Republic of the Congo;0;0;0;0;0;0;0;0;67;66;58;52;36;27;0;0;0;0;0;0;0;0;4118;108;66;424
Denmark;2;2;1;0;0;1;11;9;0;0;0;0;0;0;97;80;0;0;84;85;0;0;106;1013;806;491
Djibouti;85;88;32;35;48;48;66;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2147;753;53;103
Dominica;21;7;4;3;3;1;19;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;1147;72;0
Dominican Republic;7;6;4;4;6;6;23;21;88;94;76;89;48;66;44;25;21;12;21;9;0;0;1951;1057;599;584
Ecuador;8;3;0;0;6;3;20;18;98;98;89;92;78;79;74;65;38;48;49;29;0;0;1972;1033;449;397
Egypt;63;63;0;0;3;2;23;24;91;92;79;81;43;41;0;0;0;0;0;21;0;0;2638;1063;352;1076
El Salvador;18;17;14;13;17;17;33;35;84;89;73;74;34;36;0;0;0;0;0;0;98;98;1825;948;294;411
Equatorial Guinea;57;55;56;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3324;618;19;643
Eritrea;73;73;45;50;32;40;45;53;0;0;0;0;0;0;0;0;0;0;0;0;94;93;303;684;34;514
Estonia;12;12;2;2;2;0;1;2;0;0;0;0;0;0;0;0;0;0;89;90;0;0;109;972;696;511
Eswatini;0;0;15;17;3;3;14;18;64;77;47;54;31;33;0;0;0;0;0;0;94;97;0;0;0;0
Ethiopia;62;64;11;18;45;49;73;75;47;48;19;22;11;14;0;0;0;0;0;0;0;0;3234;101;81;208
Fiji;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2128;1064;161;41
Finland;2;3;1;1;1;0;3;5;0;0;0;0;0;0;98;82;0;0;86;85;0;0;86;1002;882;659
France;0;0;0;0;1;1;5;4;0;0;0;0;0;0;0;0;94;58;79;79;0;0;113;1025;656;843
Gabon;0;0;0;0;0;0;0;0;66;75;32;33;14;14;0;0;0;0;0;0;88;91;3161;1399;83;20
The Gambia;42;36;19;10;0;0;0;0;64;60;50;48;33;28;5;0;0;0;0;0;0;0;3854;98;27;906
Georgia;0;0;2;2;1;2;7;4;100;100;98;98;79;83;86;47;0;0;36;39;0;0;1347;986;639;144
Germany;1;1;1;0;6;4;12;16;0;0;0;0;0;0;0;0;95;77;79;79;0;0;95;104;702;304
Ghana;14;12;1;0;13;8;28;28;69;73;45;50;12;9;0;0;0;0;0;0;93;92;2941;1048;157;433
Greece;6;5;2;1;3;5;4;6;0;0;0;0;0;0;0;0;0;0;69;64;99;99;81;996;1366;1724
Grenada;4;1;0;0;0;0;8;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1647;1069;1046;0
Guatemala;16;16;11;10;30;35;57;61;80;76;52;45;27;25;68;52;36;34;30;11;0;0;2456;1019;218;246
Guinea;57;60;15;29;43;60;59;76;52;39;33;20;22;13;0;0;0;0;0;0;70;43;3636;915;116;43
Guinea0Bissau;0;0;0;0;0;0;0;0;29;25;18;16;14;8;0;0;0;0;0;0;0;0;3513;1187;26;247
